Player Name,Player ID
Leo Carlsson,8484153
Robby Fabbri,8477952
Cutter Gauthier,8483445
Jansen Harkins,8478424
Ross Johnston,8477527
Alex Killorn,8473986
Brett Leason,8481517
Isac Lundestrom,8480806
Brock McGinn,8476934
Mason McTavish,8482745
Ryan Strome,8476458
Troy Terry,8478873
Frank Vatrano,8478366
Tim Washe,8485512
Trevor Zegras,8481533
Radko Gudas,8475462
Drew Helleson,8481563
Oliver Kylington,8478430
Jackson LaCombe,8481605
Pavel Mintyukov,8483490
Ian Moore,8482178
Jacob Trouba,8476885
Olen Zellweger,8482803
Lukas Dostal,8480843
John Gibson,8476434
John Beecher,8481556
Morgan Geekie,8479987
Mark Kastelic,8480355
Marat Khusnutdinov,8482177
Cole Koepke,8481043
Jakub Lauko,8480880
Elias Lindholm,8477496
Casey Mittelstadt,8479999
David Pastrnak,8477956
Pavel Zacha,8478401
Henri Jokiharju,8480035
Hampus Lindholm,8476854
Mason Lohrei,8482511
Charlie McAvoy,8479325
Andrew Peeke,8479369
Parker Wotherspoon,8478450
Nikita Zadorov,8477507
Joonas Korpisalo,8476914
Jeremy Swayman,8480280
Zach Benson,8484145
Jordan Greenway,8478413
Peyton Krebs,8481522
Sam Lafferty,8478043
Beck Malenstyn,8479359
Ryan McLeod,8480802
Josh Norris,8480064
JJ Peterka,8482175
Jack Quinn,8482097
Tage Thompson,8479420
Alex Tuch,8477949
Jason Zucker,8475722
Jacob Bernard-Docker,8480879
Jacob Bryson,8480196
Bowen Byram,8481524
Connor Clifton,8477365
Rasmus Dahlin,8480839
Owen Power,8482671
Mattias Samuelsson,8480807
Ukko-Pekka Luukkonen,8480045
James Reimer,8473503
Mikael Backlund,8474150
Blake Coleman,8476399
Matt Coronato,8482679
Joel Farabee,8480797
Morgan Frost,8480028
Jonathan Huberdeau,8476456
Nazem Kadri,8475172
Justin Kirkland,8477993
Ryan Lomberg,8479066
Anthony Mantha,8477511
Martin Pospisil,8481028
Kevin Rooney,8479291
Yegor Sharangovich,8481068
Aydar Suniev,8484234
Connor Zary,8482074
Rasmus Andersson,8478397
Kevin Bahl,8480860
Jake Bean,8479402
Joel Hanley,8477810
Daniil Miromanov,8482624
Brayden Pachal,8481167
Zayne Parekh,8484768
Ilya Solovyov,8482470
MacKenzie Weegar,8477346
Dan Vladar,8478435
Dustin Wolf,8481692
Sebastian Aho,8478427
Jackson Blake,8482809
William Carrier,8477478
Taylor Hall,8475791
Mark Jankowski,8476873
Seth Jarvis,8482093
Tyson Jost,8479370
Jesperi Kotkaniemi,8480829
Jordan Martinook,8476921
Eric Robinson,8480762
Jack Roslovic,8478458
Jordan Staal,8473533
Logan Stankoven,8482702
Andrei Svechnikov,8480830
Brent Burns,8470613
Jalen Chatfield,8478970
Shayne Gostisbehere,8476906
Dmitry Orlov,8475200
Jaccob Slavin,8476958
Riley Stillman,8479388
Sean Walker,8480336
Frederik Andersen,8475883
Pyotr Kochetkov,8481611
Connor Bedard,8484144
Tyler Bertuzzi,8477479
Jason Dickinson,8477450
Ryan Donato,8477987
Nick Foligno,8473422
Ryan Greene,8483450
Philipp Kurashev,8480798
Patrick Maroon,8474034
Ilya Mikheyev,8481624
Oliver Moore,8484197
Frank Nazar,8483493
Lukas Reichel,8482117
Landon Slaggert,8482172
Teuvo Teravainen,8476882
Joe Veleno,8480813
TJ Brodie,8474673
Louis Crevier,8481806
Wyatt Kaiser,8482176
Artyom Levshunov,8484783
Alec Martinez,8474166
Connor Murphy,8476473
Sam Rinzel,8483506
Alex Vlasic,8481568
Spencer Knight,8481519
Arvid Soderblom,8482821
Ross Colton,8479525
Charlie Coyle,8475745
Jonathan Drouin,8477494
Jack Drury,8480835
Parker Kelly,8480448
Joel Kiviranta,8481641
Gabriel Landeskog,8476455
Artturi Lehkonen,8477476
Nathan MacKinnon,8477492
Martin Necas,8480039
Brock Nelson,8475754
Valeri Nichushkin,8477501
Logan O'Connor,8481186
Jimmy Vesey,8476918
Miles Wood,8477425
Samuel Girard,8479398
Erik Johnson,8473446
Ryan Lindgren,8479324
Cale Makar,8480069
Sam Malinski,8484258
Josh Manson,8476312
Keaton Middleton,8479387
Devon Toews,8478038
Mackenzie Blackwood,8478406
Scott Wedgewood,8475809
Zachary Aston-Reese,8479944
Yegor Chinakhov,8482475
Justin Danforth,8479941
Adam Fantilli,8484166
Christian Fischer,8478432
Boone Jenner,8476432
Kent Johnson,8482660
Luke Kunin,8479316
Sean Kuraly,8476374
Kevin Labanc,8478099
Kirill Marchenko,8480893
Sean Monahan,8477497
Mathieu Olivier,8479671
Cole Sillinger,8482705
